2021-06-21 18:23:51,550 - bb_pipeline_func - ERROR - Exception raised during execution of: 	${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM} -N "bb_FC_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_FC 000015 
2021-06-21 18:23:51,550 - bb_pipeline_func - ERROR - Exception type: 	<class 'subprocess.CalledProcessError'> 
2021-06-21 18:23:51,550 - bb_pipeline_func - ERROR - Exception args: 	(127, '${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM} -N "bb_FC_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_FC 000015') 
2021-06-21 18:23:51,550 - bb_pipeline_func - ERROR - Exception message: 	Command '${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM} -N "bb_FC_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_FC 000015' returned non-zero exit status 127. 
2021-06-21 18:23:51,550 - bb_pipeline_func - INFO - COMMAND TO RUN: 	${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM}  -N "bb_rfMRI_clean_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_clean_fix_logs 000015 
2021-06-21 18:23:51,576 - bb_pipeline_func - ERROR - Exception raised during execution of: 	${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM}  -N "bb_rfMRI_clean_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_clean_fix_logs 000015 
2021-06-21 18:23:51,576 - bb_pipeline_func - ERROR - Exception type: 	<class 'subprocess.CalledProcessError'> 
2021-06-21 18:23:51,576 - bb_pipeline_func - ERROR - Exception args: 	(127, '${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM}  -N "bb_rfMRI_clean_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_clean_fix_logs 000015') 
2021-06-21 18:23:51,576 - bb_pipeline_func - ERROR - Exception message: 	Command '${FSLDIR}/bin/fsl_sub -q ${QUEUE_MORE_MEM}  -N "bb_rfMRI_clean_000015"  -l /home/yxw190015/HSAM/000015/logs/ -j  $BB_BIN_DIR/bb_functional_pipeline/bb_clean_fix_logs 000015' returned non-zero exit status 127. 
2021-06-21 18:23:51,576 - bb_pipeline_func - ERROR - There is no tFMRI info. Thus, the Task Functional part will not be run 
